Farmer_ID,Crop,Area_Hectares,Rainfall_mm,Yield_Tonnes
F001,Wheat,12.5,450,38.2
F002,Rice,8.0,980,42.5
F003,Maize,15.2,620,51.8
F004,Cotton,10.4,520,24.7
F005,Soybean,7.8,680,19.3
F006,Sugarcane,20.5,1100,145.6
F007,Barley,9.6,410,27.4
F008,Potato,6.3,560,34.1
F009,Tomato,4.7,730,29.8
F010,Groundnut,11.1,590,21.5
F011,Wheat,,470,39.4
F012,Rice,9.2,,45.1
F013,Maize,14.6,610,
F014,Cotton,10.8,540,25.3
F015,,8.5,690,20.1
F016,Sugarcane,21.3,1120,148.2
F017,Barley,9.1,430,28.0
F018,Potato,6.7,570,35.0
F005,Soybean,7.8,680,19.3
F020,Tomato,5.2,740,
